Ticker,DateToday,TodayClose,DateTomorrow,Forecast1d,PctChange1d
NOW,2025-11-12,860.67,2025-11-13,892.02,3.642511066959475
GE,2025-11-12,310.72,2025-11-13,307.36,-1.0813594232749746
BAC,2025-11-12,53.63,2025-11-13,52.76,-1.6222263658400182
VZ,2025-11-12,40.7,2025-11-13,40.01,-1.6953316953317032
ABT,2025-11-12,124.97,2025-11-13,126.74,1.4163399215811667
MU,2025-11-12,241.11,2025-11-13,236.19,-2.040562398905066
CHTR,2025-11-12,222.71,2025-11-13,241.66,8.508823133222565
AMD,2025-11-12,237.52,2025-11-13,246.3,3.6965308184573997
DE,2025-11-12,477.95,2025-11-13,469.28,-1.8139972800502169
CB,2025-11-12,292.42,2025-11-13,282.85,-3.2726899664865527
TXN,2025-11-12,159.73,2025-11-13,164.93,3.2554936455268413
EQIX,2025-11-12,816.83,2025-11-13,819.12,0.28035209284673623
NFLX,2025-11-12,1136.44,2025-11-13,1111.13,-2.227130336841354
T,2025-11-12,25.18,2025-11-13,25.06,-0.4765687053216894
PNC,2025-11-12,184.82,2025-11-13,184.4,-0.22724813331890248
CMCSA,2025-11-12,27.75,2025-11-13,28.76,3.639639639639647
IBM,2025-11-12,313.72,2025-11-13,308.21,-1.756343236006641
NVDA,2025-11-12,193.16,2025-11-13,195.56,1.2424932698281266
PFE,2025-11-12,25.51,2025-11-13,24.83,-2.665621324970613
PM,2025-11-12,156.8,2025-11-13,151.71,-3.2461734693877586
DIS,2025-11-12,110.84,2025-11-13,112.14,1.1728617827499122
CRM,2025-11-12,244.5,2025-11-13,248.82,1.7668711656441793
AON,2025-11-12,349.93,2025-11-13,343.23,-1.9146686480153163
V,2025-11-12,338.92,2025-11-13,340.68,0.5192965891655854
SCHW,2025-11-12,96.12,2025-11-13,94.52,-1.6645859342488634
LOW,2025-11-12,235.34,2025-11-13,238.6,1.3852298801733554
F,2025-11-12,13.3,2025-11-13,13.02,-2.1052631578947434
SBUX,2025-11-12,86.42,2025-11-13,84.09,-2.6961351538995593
PG,2025-11-12,148.54,2025-11-13,148.91,0.24909115389795122
GM,2025-11-12,71.22,2025-11-13,69.71,-2.120190957596191
ETN,2025-11-12,387.23,2025-11-13,378.99,-2.1279343026108566
USB,2025-11-12,47.62,2025-11-13,47.2,-0.8819823603527843
GILD,2025-11-12,122.56,2025-11-13,120.53,-1.6563315926892974
MDLZ,2025-11-12,57.12,2025-11-13,57.78,1.1554621848739455
ADI,2025-11-12,233.24,2025-11-13,237.17,1.6849596981649784
COP,2025-11-12,88.39,2025-11-13,88.77,0.42991288607308054
PLD,2025-11-12,126.26,2025-11-13,124.59,-1.3226675114842434
TGT,2025-11-12,91.58,2025-11-13,91.93,0.38217951517800497
CSX,2025-11-12,35.78,2025-11-13,35.7,-0.22358859698154987
SPGI,2025-11-12,497.73,2025-11-13,491.98,-1.1552448114439562
KO,2025-11-12,71.61,2025-11-13,69.72,-2.639296187683282
INTC,2025-11-12,37.88,2025-11-13,38.28,1.055966209081305
ADBE,2025-11-12,333.22,2025-11-13,339.74,1.9566652661904937
AMAT,2025-11-12,228.67,2025-11-13,229.31,0.2798793020510004
HD,2025-11-12,374.24,2025-11-13,379.82,1.4910218041898293
CVX,2025-11-12,156.24,2025-11-13,154.81,-0.9152585765489052
INTU,2025-11-12,654.32,2025-11-13,662.4,1.2348697884826842
MO,2025-11-12,58.41,2025-11-13,57.75,-1.1299435028248483
PYPL,2025-11-12,67.6,2025-11-13,68.5,1.3313609467455745
ACN,2025-11-12,242.56,2025-11-13,245.91,1.3811015831134643
MCD,2025-11-12,306.83,2025-11-13,302.64,-1.3655770296255199
CSCO,2025-11-12,71.71,2025-11-13,71.61,-0.13945056477477902
ICE,2025-11-12,151.99,2025-11-13,149.84,-1.4145667478123625
PSX,2025-11-12,136.99,2025-11-13,134.8,-1.5986568362654219
SO,2025-11-12,91.14,2025-11-13,92.99,2.0298441957428137
EOG,2025-11-12,106.11,2025-11-13,108.05,1.8282913957214264
COST,2025-11-12,913.86,2025-11-13,925.69,1.2945090057558062
BKNG,2025-11-12,5050.65,2025-11-13,5048.06,-0.051280528248820456
PEP,2025-11-12,145.08,2025-11-13,145.38,0.20678246484697738
XOM,2025-11-12,119.78,2025-11-13,115.53,-3.54817164802137
MAR,2025-11-12,281.69,2025-11-13,268.54,-4.668252334126155
